sensorId,regionId,visitorId,deviceId,deviceType,populationType,globalId,firstTimeSeen,lastTimeSeen,rssi,nEvents,manufacturer,manufacturerRouter,manufacturerGlobal,excluded,ssid,frameControlHex,length
SENSOR-1001,1,visitor-file4-115837,02:00:00:3E:8F:A0,LAPTOP,3,4100000,1787278200000,1787278200000,-54,25,LG,False,False,False,OfficeNet,0xBF5E,1028
SENSOR-1001,1,visitor-file4-026150,02:00:00:3E:8F:A1,LAPTOP,1,4100001,1787278200000,1787278200000,-80,10,LG,False,True,False,OfficeNet,0xBA3B,305
SENSOR-1001,1,visitor-file4-081975,02:00:00:3E:8F:A2,TABLET,2,4100002,1787278200000,1787278200000,-83,7,Unknown,False,False,False,Cafe_Free_WiFi,0xFB83,170
SENSOR-1001,1,visitor-common-095274,02:00:00:3E:8F:A3,TABLET,2,4100003,1787278200000,1787278200000,-64,19,Unknown,True,False,False,Unknown,0x38B2,653
SENSOR-1001,1,visitor-common-044248,02:00:00:3E:8F:A4,MOBILE,2,4100004,1787278200000,1787278200000,-55,19,LG,True,True,False,KT_GiGA,0x1352,1411
SENSOR-1001,1,visitor-file4-184525,02:00:00:3E:8F:A5,LAPTOP,1,4100005,1787278200000,1787278200000,-36,8,Apple,False,True,False,Cafe_Free_WiFi,0xDDAE,1444
SENSOR-1001,1,visitor-common-136310,02:00:00:3E:8F:A6,MOBILE,2,4100006,1787278200000,1787278200000,-91,8,Unknown,True,True,False,Cafe_Free_WiFi,0x0FA2,815
SENSOR-1001,1,visitor-file4-179003,02:00:00:3E:8F:A7,TABLET,4,4100007,1787278200000,1787278200000,-89,17,Unknown,False,True,False,OfficeNet,0x4C1E,434
SENSOR-1001,1,visitor-file4-295864,02:00:00:3E:8F:A8,TABLET,2,4100008,1787278200000,1787278200000,-34,17,Unknown,True,True,False,Cafe_Free_WiFi,0x7DBA,184
SENSOR-1001,1,visitor-common-155174,02:00:00:3E:8F:A9,TABLET,2,4100009,1787278200000,1787278200000,-34,13,Unknown,True,True,False,OfficeNet,0x56C4,276
SENSOR-1001,1,visitor-common-115027,02:00:00:3E:8F:AA,MOBILE,1,4100010,1787278200000,1787278200000,-88,24,Apple,False,True,False,Unknown,0xC91C,144
SENSOR-1001,1,visitor-file4-080991,02:00:00:3E:8F:AB,TABLET,4,4100011,1787278200000,1787278200000,-79,4,Unknown,False,False,False,OfficeNet,0x6D65,314
SENSOR-1001,1,visitor-file4-275138,02:00:00:3E:8F:AC,LAPTOP,3,4100012,1787278200000,1787278200000,-73,3,LG,True,True,False,OfficeNet,0x5EAA,728
SENSOR-1001,1,visitor-common-187397,02:00:00:3E:8F:AD,MOBILE,4,4100013,1787278200000,1787278200000,-32,17,Samsung,False,True,False,OfficeNet,0x0D4F,67
SENSOR-1001,1,visitor-common-127373,02:00:00:3E:8F:AE,LAPTOP,1,4100014,1787278200000,1787278200000,-84,17,Apple,False,True,False,KT_GiGA,0x410B,337
SENSOR-1001,1,visitor-common-002851,02:00:00:3E:8F:AF,MOBILE,3,4100015,1787278200000,1787278200000,-34,25,Samsung,True,False,False,KT_GiGA,0xC08F,1370
SENSOR-1001,1,visitor-file4-229289,02:00:00:3E:8F:B0,MOBILE,2,4100016,1787278200000,1787278200000,-63,8,Unknown,False,False,False,Unknown,0x4FC4,1369
SENSOR-1001,1,visitor-file4-173929,02:00:00:3E:8F:B1,LAPTOP,2,4100017,1787278200000,1787278200000,-86,11,Apple,False,True,False,OfficeNet,0xDD25,697
