sensorId,regionId,visitorId,deviceId,deviceType,populationType,globalId,firstTimeSeen,lastTimeSeen,rssi,nEvents,manufacturer,manufacturerRouter,manufacturerGlobal,excluded,ssid,frameControlHex,length
SENSOR-1234,2,visitor-file1-001382,02:00:00:1E:89:E5,TABLET,3,601382,1787278140000,1787278140000,-46,4,Apple,False,True,False,OfficeNet,0x4B42,72
SENSOR-1234,11,visitor-file1-002931,02:00:00:1E:8F:F2,MOBILE,4,602931,1787278140000,1787278140000,-72,22,Samsung,False,True,False,Cafe_Free_WiFi,0x514F,184
SENSOR-1234,6,visitor-file1-002706,02:00:00:1E:8F:11,MOBILE,3,602706,1787278140000,1787278140000,-87,8,LG,False,True,False,Cafe_Free_WiFi,0x506E,1396
SENSOR-1234,1,visitor-file1-001861,02:00:00:1E:8B:C4,MOBILE,2,601861,1787278140000,1787278140000,-36,3,Samsung,False,True,False,KT_GiGA,0x4D21,551
SENSOR-1234,11,visitor-file1-000331,02:00:00:1E:85:CA,MOBILE,4,600331,1787278140000,1787278140000,-33,3,Samsung,False,True,False,KT_GiGA,0x4727,458
SENSOR-1234,12,visitor-common-000852,02:00:00:0F:45:93,TABLET,1,500852,1787278140000,1787278140000,-87,13,Apple,False,True,False,U+Net,0x4354,916
SENSOR-1234,16,visitor-common-000436,02:00:00:0F:43:F3,MOBILE,1,500436,1787278140000,1787278140000,-41,17,LG,False,True,False,KT_GiGA,0x41B4,500
SENSOR-1234,2,visitor-common-000942,02:00:00:0F:45:ED,TABLET,3,500942,1787278140000,1787278140000,-60,14,Apple,False,True,False,U+Net,0x43AE,1006
SENSOR-1234,7,visitor-file1-002547,02:00:00:1E:8E:72,TABLET,4,602547,1787278140000,1787278140000,-52,29,Cisco,False,True,False,U+Net,0x4FCF,1237
SENSOR-1234,13,visitor-common-001433,02:00:00:0F:47:D8,LAPTOP,2,501433,1787278140000,1787278140000,-63,25,Xiaomi,False,True,False,OfficeNet,0x4599,1497
SENSOR-1234,13,visitor-common-000493,02:00:00:0F:44:2C,LAPTOP,2,500493,1787278140000,1787278140000,-32,15,Xiaomi,False,True,False,Guest,0x41ED,557
SENSOR-1234,13,visitor-file1-002493,02:00:00:1E:8E:3C,LAPTOP,2,602493,1787278140000,1787278140000,-58,4,Xiaomi,False,True,False,U+Net,0x4F99,1183
SENSOR-1234,16,visitor-file1-000776,02:00:00:1E:87:87,MOBILE,1,600776,1787278140000,1787278140000,-49,26,LG,False,True,False,,0x48E4,903
SENSOR-1234,2,visitor-common-000762,02:00:00:0F:45:39,TABLET,3,500762,1787278140000,1787278140000,-58,14,Apple,False,True,False,U+Net,0x42FA,826
SENSOR-1234,17,visitor-file1-000457,02:00:00:1E:86:48,TABLET,2,600457,1787278140000,1787278140000,-37,8,Cisco,False,True,False,KT_GiGA,0x47A5,584
SENSOR-1234,16,visitor-file1-000376,02:00:00:1E:85:F7,MOBILE,1,600376,1787278140000,1787278140000,-77,18,LG,False,True,False,KT_GiGA,0x4754,503
SENSOR-1234,11,visitor-file1-001811,02:00:00:1E:8B:92,MOBILE,4,601811,1787278140000,1787278140000,-44,13,Samsung,False,True,False,,0x4CEF,501
SENSOR-1234,13,visitor-common-000353,02:00:00:0F:43:A0,LAPTOP,2,500353,1787278140000,1787278140000,-80,24,Xiaomi,False,True,False,OfficeNet,0x4161,417
SENSOR-1234,5,visitor-common-001365,02:00:00:0F:47:94,IOT,2,501365,1787278140000,1787278140000,-54,16,Huawei,False,True,False,U+Net,0x4555,1429
SENSOR-1234,1,visitor-common-000841,02:00:00:0F:45:88,MOBILE,2,500841,1787278140000,1787278140000,-77,2,Samsung,False,True,False,KT_GiGA,0x4349,905
SENSOR-1234,18,visitor-common-001338,02:00:00:0F:47:79,LAPTOP,3,501338,1787278140000,1787278140000,-90,20,TP-Link,False,True,False,U+Net,0x453A,1402
SENSOR-1234,11,visitor-file1-002051,02:00:00:1E:8C:82,MOBILE,4,602051,1787278140000,1787278140000,-42,13,Samsung,False,True,False,SK_WiFi,0x4DDF,741
SENSOR-1234,14,visitor-common-001214,02:00:00:0F:46:FD,ROUTER,3,501214,1787278140000,1787278140000,-86,16,Google,True,True,False,,0x44BE,1278
SENSOR-1234,18,visitor-file1-002778,02:00:00:1E:8F:59,LAPTOP,3,602778,1787278140000,1787278140000,-37,20,TP-Link,False,True,False,Cafe_Free_WiFi,0x50B6,1468
SENSOR-1234,16,visitor-file1-000056,02:00:00:1E:84:B7,MOBILE,1,600056,1787278140000,1787278140000,-58,28,LG,False,True,False,,0x4614,183
SENSOR-1234,1,visitor-file1-002041,02:00:00:1E:8C:78,MOBILE,2,602041,1787278140000,1787278140000,-33,1,Samsung,False,True,False,KT_GiGA,0x4DD5,731
SENSOR-1234,18,visitor-common-001138,02:00:00:0F:46:B1,LAPTOP,3,501138,1787278140000,1787278140000,-67,28,TP-Link,False,True,False,KT_GiGA,0x4472,1202
SENSOR-1234,1,visitor-file1-002441,02:00:00:1E:8E:08,MOBILE,2,602441,1787278140000,1787278140000,-70,11,Samsung,False,True,False,,0x4F65,1131
SENSOR-1234,2,visitor-file1-001282,02:00:00:1E:89:81,TABLET,3,601282,1787278140000,1787278140000,-65,23,Apple,False,True,False,HomeWiFi,0x4ADE,1409
SENSOR-1234,7,visitor-file1-000087,02:00:00:1E:84:D6,TABLET,4,600087,1787278140000,1787278140000,-28,28,Cisco,False,True,False,Cafe_Free_WiFi,0x4633,214
SENSOR-1234,1,visitor-file1-002841,02:00:00:1E:8F:98,MOBILE,2,602841,1787278140000,1787278140000,-38,23,Samsung,False,True,False,Cafe_Free_WiFi,0x50F5,94
SENSOR-1234,7,visitor-file1-000587,02:00:00:1E:86:CA,TABLET,4,600587,1787278140000,1787278140000,-45,19,Cisco,False,True,False,,0x4827,714
SENSOR-1234,19,visitor-file1-002839,02:00:00:1E:8F:96,ROUTER,4,602839,1787278140000,1787278140000,-37,20,Intel,True,True,False,HomeWiFi,0x50F3,92
SENSOR-1234,19,visitor-file1-001959,02:00:00:1E:8C:26,ROUTER,4,601959,1787278140000,1787278140000,-75,9,Intel,True,True,False,Cafe_Free_WiFi,0x4D83,649
SENSOR-1234,7,visitor-file1-001607,02:00:00:1E:8A:C6,TABLET,4,601607,1787278140000,1787278140000,-89,17,Cisco,False,True,False,OfficeNet,0x4C23,297
SENSOR-1234,18,visitor-file1-002338,02:00:00:1E:8D:A1,LAPTOP,3,602338,1787278140000,1787278140000,-89,28,TP-Link,False,True,False,KT_GiGA,0x4EFE,1028
SENSOR-1234,17,visitor-common-000477,02:00:00:0F:44:1C,TABLET,2,500477,1787278140000,1787278140000,-81,29,Cisco,False,True,False,SensorNet,0x41DD,541
SENSOR-1234,20,visitor-file1-001700,02:00:00:1E:8B:23,IOT,1,601700,1787278140000,1787278140000,-60,20,Unknown,False,False,False,SK_WiFi,0x4C80,390
SENSOR-1234,7,visitor-file1-000687,02:00:00:1E:87:2E,TABLET,4,600687,1787278140000,1787278140000,-79,27,Cisco,False,True,False,SensorNet,0x488B,814
SENSOR-1234,14,visitor-common-000374,02:00:00:0F:43:B5,ROUTER,3,500374,1787278140000,1787278140000,-36,14,Google,True,True,False,SK_WiFi,0x4176,438
SENSOR-1234,4,visitor-file1-000704,02:00:00:1E:87:3F,ROUTER,1,600704,1787278140000,1787278140000,-36,16,Google,True,True,False,,0x489C,831
SENSOR-1234,11,visitor-common-001091,02:00:00:0F:46:82,MOBILE,4,501091,1787278140000,1787278140000,-82,13,Samsung,False,True,False,OfficeNet,0x4443,1155
